# Append-only ledger: preserve existing rows; corrections and later evidence belong in new rows.
id,date,hypothesis,mathematical_motivation,exact_predictions,cheapest_decisive_test,evidence_for,evidence_against,status,artifact_paths,next_action
H011,2026-08-11,Rosengren's cited conjectural transform supplies a complete exact 3D free energy,A closed callable would make coefficient and singularity tests possible,A source-defined weight rule must produce independent HT coefficients,Locate an unambiguous formula determining every weight/function,The source records a conjectural transform,No independent rule for the unknown functions is supplied; fitting known coefficients is interpolation,unresolved,notes/lit_claimed_solutions.md;notes/literature_matrix.md;results/reference_data/claimed_solutions.json,Test only if an independent complete callable is provided
H012,2026-08-11,The three-dimensional Ising model is self-dual,The 2D Kramers--Wannier relation tempts use of the same sinh(2K)sinh(2K*)=1 fixed point,Finite-volume duality would map Ising partition functions back to the same model after all sectors and prefactors,Check exact cell-complex duality on the smallest 3D torus,The scalar coupling map reappears,The dual degrees of freedom form a Z2 gauge theory; exact finite-volume sector identities are not Ising self-duality,falsified,proofs/duality_3d.md;results/duality/duality.json;tests/test_duality.py,Use gauge duality as a relation between distinct universality-related models
H013,2026-08-11,The natural 3D layer transfer pair satisfies a closed Dolan--Grady defect formula,The 2D Onsager algebra is generated by Dolan--Grady relations; local graph degree should expose the 3D failure,DG1 is universal and DG2 residual equals the stated degree-linear plus neighbor-triple Pauli sum,Expand exact commutators on stars and a small open grid,Term-by-term exact agreement on 16 graphs and a local proof,,confirmed,proofs/dolan_grady_defect.md;results/dg_theorem_check.json;experiments/e16_dg_theorem_check.py,Use the local defect to constrain deformations
H014,2026-08-11,Dolan--Grady holds if and only if the graph is 2-regular,Cycle controls suggested 2-regularity as the exact boundary,Every non-2-regular graph has nonzero DG2 residual,Add one isolated vertex to a cycle,Cycles pass,C3 plus an isolated vertex is not 2-regular but has exactly zero residual,falsified,proofs/dolan_grady_defect.md;results/audit/audit_replication.json,Use corrected condition: every vertex degree is 0 or 2
H015,2026-08-11,Dolan--Grady residual vanishes exactly when every degree is 0 or 2,"The proved coefficient conditions are d(d-2)=0 for the linear term and C(d,3)=0 for the quartic term","R=0 iff deg(v) belongs to {0,2} for every v",Verify the coefficient equations and the isolated-cycle counterexample,Proved locally and checked on 16 graphs,None,confirmed,proofs/dolan_grady_defect.md;results/dg_theorem_check.json;results/audit/audit_replication.json,State 2-regularity only after assuming no isolated vertices
H016,2026-08-11,A degree-d vertex generates a (d+1)-body all-neighbour Dolan--Grady term,A naive nesting picture suggested successively higher local bodies,Stars of degree 4 and above should contain all-neighbour degree-dependent body order,"Compute exact residual support on K1,d",Degree 3 creates the quartic term,For every d the residual contains only the linear term and sums over neighbor triples,falsified,experiments/e15_dg_local_structure.py;proofs/dolan_grady_defect.md,Closed; use the proven fixed quartic structure
H017,2026-08-11,An induced claw is equivalent to exponentially large two-generator algebra,A claw is the minimal term-wise Majorana and quartic DG obstruction,"Every clawed family should already have rapidly growing dim<A,B>",Close A=sum X and B=sum ZZ on stars and K4,A claw marks the exact local quartic obstruction and growing path-plus-bond examples,"K1,3 K1,4 and K4 are clawed but have dimensions 24 33 and 15",falsified,experiments/e13_minimal_obstruction.py;results/minimal_obstruction.json;proofs/dolan_grady_defect.md,Separate local integrability obstruction from global algebra-growth theorems
H018,2026-08-11,One extra bond destroys the small Onsager algebra of a path,A single degree-3 vertex creates the first quartic DG defect,Path-plus-one-rung dimensions should jump far above n^2,Compute exact closures for n=6 7 8,Dimensions jump to 470 3426 and 6397,Only three finite sizes are tested,provisionally_supported,results/minimal_obstruction.json;proofs/algebraic_obstruction.md,Find an inductive lower-bound construction
H019,2026-08-11,The two-generator algebra grows exponentially for every 2xL ladder,Finite depth profiles and exact small closures show rapid growth,A uniform lower bound c^L should follow from independent graded Pauli sectors,Compute D_(2L) and compare with 2^L,D_(2L)>=2^L is exact for L=2 through 6; dimensions include 11 263 and 2952,No all-L induction; 2x5 and 2x6 did not saturate within resource walls,provisionally_supported,notes/algebra_growth.md;results/algebra_growth/profiles.json;results/algebra_growth/exact_dimensions.json,Prove a recursive independent-word embedding or find a counterfamily
H020,2026-08-11,The natural 2D layer has a growing tower of translation-invariant local conserved Pauli charges,A higher-dimensional analogue of free-fermion charges would signal integrability,"Kernel dimension beyond span{I,H} should grow with support range",Solve exact finite-field commutator kernels at ranges 2 3 4 with 1D controls,The 1D control returns dimensions 1 3 5 7,The 2D layer returns only the two-dimensional trivial span through range 4,falsified,notes/integrability.md;results/integrability/conserved_charges.json,Broaden the ansatz only with a specific non-Pauli/local structure
H021,2026-08-11,The isotropic 3D bond tensor satisfies the tested constant tetrahedron equation,A Zamolodchikov-type local consistency equation could underlie higher-dimensional integrability,Every exact residual polynomial must vanish in the fixed delta-bond gauge,Evaluate the smallest nontrivial residual exactly,Degenerate zero-coupling controls vanish,A nonzero exact witness occurs for the physical specialization; allowed orthogonal/monomial gauges do not remove it,falsified,notes/integrability.md;results/integrability/tetrahedron.json,Do not infer a no-go for spectral-parameter or different tensor formulations
H022,2026-08-11,A symmetry-invariant local deformation can cancel the second Dolan--Grady residual on the 3x3 torus,The quartic obstruction may be removable by adding small-support orbit sums,The exact DG2 residual becomes identically zero for a rational coefficient vector,Solve the F3 exact linear system,An explicit rational F3 solution has zero DG2 residual,The same pair fails DG1,confirmed,proofs/dg_deformation_nogo.md;results/deformation/dg_deformation_search.json,Search only deformations that impose both relations simultaneously
H023,2026-08-11,The explicit F3 DG2-cancelling pair is Dolan--Grady integrable,Cancelling the known second relation is necessary for an Onsager algebra,It must also satisfy ad_A^3(B)=lambda ad_A(B) for some lambda,Check one coefficient with ad_A(B)=0,DG2 is exact,A witness has ad_A^3(B) coefficient 3 while ad_A(B) coefficient is 0,falsified,proofs/dg_deformation_nogo.md;results/deformation/dg_deformation_search.json,Retain as a cancellation example only
H024,2026-08-11,The natural 3D layer pair satisfies some tridiagonal/Askey--Wilson relation,Tridiagonal pairs strictly generalize the Dolan--Grady specialization,There exist beta gamma gamma* rho rho* solving both affine relations,Solve exact parameter systems on the smallest torus and exhibit a witness if inconsistent,Cycles satisfy the control relation,Every tested 3D torus/open-grid system is inconsistent; exact witnesses are stored,falsified,proofs/tridiagonal_nogo.md;results/tridiagonal.json;results/tridiagonal_certificate.json;results/tridiagonal_certificate_general.json,A deformed generator pair is a separate open question
H025,2026-08-11,One universal one-row quartic witness proves the tridiagonal no-go on every rectangular torus,A local quartic monomial seemed to isolate an inconsistent coefficient equation,The same single Pauli row is inconsistent for every tested side length,Evaluate the row on 3x3 through 5x5,It works for all 4x4 strings and half the strings when one side is 4,3x3 3x5 3x6 and 5x5 require four-row certificates,falsified,experiments/e22_tridiagonal_certificate.py;experiments/e23_certificate_general.py;results/tridiagonal_certificate_general.json,Use the stored one- or four-row witness for each geometry
H026,2026-08-11,The unsigned half-angle Kac--Ward guess gives the 3D cubic even-subgraph polynomial,A local non-backtracking determinant solves planar Ising and might extend with 3D direction angles,Finite-box determinant coefficients equal exact cycle-space coefficients,Compare the first nonzero coefficients on 2x2x2 free,None,First mismatch occurs at v^6: determinant coefficient 32i versus target 32,falsified,proofs/kac_ward_3d_obstruction.md;results/kac_ward/kac_ward.json,Closed for this natural guess
H027,2026-08-11,A strict cubic-covariant two-weight local Kac--Ward determinant represents 3D Ising,Cubic symmetry reduces coplanar and out-of-plane turns to two scalar weights,All exact closed-walk equations through v^8 have a common solution,Eliminate the two weights from the low-order exact equations,2D controls reproduce Kac--Ward exactly,The exact Groebner ideal is the unit ideal; the obstruction appears at v^8,falsified,proofs/kac_ward_3d_obstruction.md;results/kac_ward/kac_ward.json,Do not extrapolate beyond the strict two-weight slice
H028,2026-08-11,Some weight choice in the full translation-invariant 30-weight Kac--Ward family represents 3D Ising,Dropping strict cubic covariance leaves the broadest local directed-turn ansatz implemented here,The 30-weight polynomial system has a physical solution including possible zero branches,Classify every gauge chart and zero branch of the finite exact system,The exact system is constructed,The nonzero gauge chart timed out; zero branches and global consistency are unclassified,unresolved,proofs/kac_ward_3d_obstruction.md;results/kac_ward/kac_ward.json,Use modular elimination or certified branch decomposition
H029,2026-08-11,The short HT series is governed by a low-budget homogeneous Euler ODE,A D-finite free energy would satisfy a polynomial-coefficient differential equation,An equation fitted before the holdout predicts all three withheld coefficients,Search exact rational ODEs and validate three held-out terms,The method exactly identifies exp(z) in its control,No tested order/degree candidate survives all three Ising holdouts,falsified,notes/series_analysis.md;results/series/extended_series_analysis.json,Do not call this a proof of non-D-finiteness; extend the series first
H030,2026-08-11,The untuned short-series singularity estimate is consistent with the known critical point,Stable Dlog--Pade and differential approximants should cluster near the physical singularity,The external benchmark lies inside a method-spread uncertainty envelope,Repeat the same selection at v^16 v^18 v^20 without feeding K_c to the selector,Estimate 0.2229380779607 +/- 0.0050376391291 contains 0.221654626,Only ten nonzero coefficients make the exponent and uncertainty weak,provisionally_supported,notes/series_analysis.md;results/series/extended_series_analysis.json,Extend coefficients before tightening or interpreting the error bar
H031,2026-08-11,Simon--Lieb finite boxes improve the existing rigorous SAW lower bound,Larger exact boundary correlations might yield a stronger lower endpoint,The certified box root exceeds 0.2074277114992,Evaluate all implemented boxes with conservative rounding,The criterion proves a valid lower bound,Best endpoint 0.20517823158099 is below the SAW endpoint,falsified,proofs/simon_lieb_bound.md;results/bounds/simon_lieb_bounds.json,Seek analytic tail improvements or larger tractable cross-sections
H032,2026-08-11,The natural Ising generator set has no nontrivial conserved Pauli fluxes on a connected graph,A Kitaev mechanism would require an extensive Pauli centraliser,The Pauli centraliser of every X_i and Z_iZ_j is exactly {I global-X},Solve the binary symplectic constraints and brute-force small graphs,A general proof and seven exact brute-force checks agree,The statement does not cover non-Pauli operators or enlarged Hilbert spaces,confirmed,experiments/e27_flux_sectors.py;results/flux_sectors.json;proofs/algebraic_obstruction.md,Keep the conclusion scoped to Pauli fluxes of the term generator set
H033,2026-08-11,The full commutant of the summed operators A and B has only identity and global spin flip,The Pauli-term centraliser was initially overextended to the summed transfer pair,No linearly independent ordinary symmetry can commute with A and B,Check lattice translation on the C3 layer,The two Pauli strings do commute,C3 translation commutes exactly and is linearly independent; exact Gram determinant 480,falsified,results/audit/audit_replication.json;proofs/algebraic_obstruction.md,Distinguish Pauli flux sectors from momentum and other non-Pauli symmetries
H034,2026-08-11,The proposed exact free energies satisfy the external 3D specific-heat exponent constraint alpha=0.110(1),A correct free energy must have the accepted non-logarithmic 3D critical singularity,Its curvature near the candidate critical point scales with exponent alpha in [0.107 0.113],Run a benchmark-blind curvature classifier with Onsager and synthetic controls,The controls recover logarithmic and prescribed power laws,Both evaluable claimed formulas are classified as logarithmic alpha=0,falsified,notes/cft_constraints.md;results/cft/cft_constraints.json,Apply this necessary-condition check to any future closed free-energy candidate
H044,2026-08-12,The interlayer w^2 coefficient is exactly determined by squared zero-field 2D correlations once the single-bond cosh prefactor is separated,The decoupled-layer measure factorizes and the logarithm retains only connected interlayer-bond subsets,Residual c2=(1/2) sum_(r!=0) G(r)^2 while total [w^2](phi3D-phi2D)=(1/2) sum_r G(r)^2,Compare an exact 2D correlation-series transfer calculation with independent anisotropic 3D finite-lattice inversion,The two exact Fraction arrays agree at v^2 v^4 v^6; K=0 gives zero residual and the exact 1D-chain prefactor,Only c2 and its prefix through v^6 were computed; the w radius and isotropic continuation remain unknown,confirmed,notes/interlayer_expansion.md;experiments/e31_interlayer.py;results/interlayer/interlayer_expansion.json;tests/test_interlayer.py,Derive c4 from connected 2D four-point functions only if an independent anisotropic w^4 validation is available
H059,2026-08-12,The minimal simultaneous three-orbit deformation contains a noncommuting Dolan--Grady or tridiagonal pair,"The exact F3 term cancels DG2, so allowing both generators to move in the smallest common symmetry-orbit basis could repair DG1 or a more general Askey--Wilson relation",A nonproportional coefficient pair satisfies both exact relations on the 3x3 torus and remains valid with the same coefficients on a second layer size,"Expand exact Pauli coefficients, reduce by translations and D4, eliminate linear relation constants, and saturate every nonproportional cross-product chart",The F3 point cancels DG2 exactly on both 3x3 and 4x4 torus layers,Low-support coefficient rows force proportional generators; all three DG nonproportional saturations and the terminal tridiagonal branch have unit Groebner ideal,falsified,experiments/e36_dg_simultaneous.py;tests/test_dg_simultaneous.py;proofs/dg_simultaneous.md;results/deformation/dg_simultaneous.json,Classify the two omitted projective hyperplanes or enlarge the explicitly enumerated orbit basis without weakening the size-independent test
H035,2026-08-12,The tested boundary-lex Pauli leading-term rule supplies 2^L distinct pivots for every two-leg ladder,A uniform distinct-leading-word family would prove D_(2L)>=2^L by triangularity,Among all nonzero bracket words of depth at most 2L there are at least 2^L distinct leaders in the fixed right-boundary lexicographic order,Expand every actual word through depth 2L and count exact Pauli leaders at the first unresolved length,The rule has 5 leaders versus 4 at L=2 and 9 versus 8 at L=3,At L=4 it has only 15 distinct leaders versus the required 16; the explicit recursive labels 0101 and 0110 also collide at leader II II ZI XY,falsified,proofs/ladder_growth.md;experiments/e28_ladder_proof.py;results/algebra_growth/ladder_proof.json;tests/test_ladder_proof.py,The all-L inequality remains open; seek a different monomial order or a direct recursive minor identity
H050,2026-08-12,The best published rigorous simple-cubic SAW upper bound improves the certified Ising lower endpoint,SAW domination converts any rigorous upper bound on mu into K_c >= atanh(1/mu),The directed lower endpoint from mu<4.7114 exceeds the incumbent 0.2074277114992039908436804465100887760027,Verify the primary-source theorem and direction-round atanh(1/4.7114),The publisher abstract verbatim calls mu<4.7114 a rigorous upper bound,The full text and underlying theorem or numerical certificate were not obtainable; the abstract-only promotion to K_c>=0.21552750678753805271 is withdrawn without claiming the published inequality false,falsified,proofs/kc_bounds_improved.md;experiments/e33_bounds_improve.py;results/bounds/improved_bounds.json;sources/manifest.yaml,Reconsider 4.7114 only if its full proof and certificate become auditable
H051,2026-08-12,Lengthening the 4x4 Simon--Lieb prism or regrouping its boundary orbits can overtake the SAW lower endpoint,End-cap removal and exact symmetry orbits might expose unused sharpness in the finite-set criterion,The axial-limit root exceeds atanh(1/4.7114),Decompose kappa by boundary orbit and fit the exact-root sequence for lengths 8 16 32,The criterion is rigorous and roots increase along the tested sequence,Lateral faces contribute 0.999996723996058 of kappa while caps contribute only 0.000003276003468; the descriptive axial limit is K about 0.20517892,falsified,proofs/kc_bounds_improved.md;results/bounds/improved_bounds.json,A larger transverse region or genuinely new correlation inequality is required
H052,2026-08-12,Exact finite Peierls surface counts through area 28 by themselves improve the infrared upper endpoint,Low-area contour entropy is far below the generic Peierls overcount and may tighten the ordering criterion,A rigorously tailed Peierls sum proves K_c below 0.2527310098586630030260020266135701299926,Enumerate the exact finite prefix and demand an infinite-volume contour-tail theorem in the same normalization,The repository gives exact plus-boundary broken-bond coefficients through area 28,Those are finite configuration counts not connected infinite-volume contour counts; no rigorous tail domination was established and the generic Peierls theorem gives only K_c<=0.7488385776610204938868995703971670322475,falsified,proofs/kc_bounds_improved.md;results/bounds/improved_bounds.json,Develop a proved connected-contour tail before reusing the exact prefix
H062,2026-08-12,"The 3D Ising layer transfer operator has a free-fermion (Gaussian) spectrum in SOME mode basis, i.e. it is a 'free fermion in disguise' even though its natural generators do not close quadratically","Fendley's disguised free fermions show a spin chain can have an exactly free-fermion spectrum while the obvious generators fail to close on a quadratic Clifford algebra. Every earlier no-go in this repo (DG, TD, claw/Gaussian, Kac-Ward) constrains an ALGEBRA and so leaves this escape route open.",A Gaussian operator on m modes has log-spectrum equal to the multiset of subset sums of m single-particle energies; equivalently lambda_1*lambda_2/lambda_0 must itself be an eigenvalue,Exact rational transfer matrix at tanh(K*/2)=1/3 plus two Sylvester inertia counts deciding whether the forced eigenvalue lambda_1*lambda_2/lambda_0 is present,"Open 1D chains (2D Ising strips) reconstruct exactly: n generators for n modes, residual 2.03e-58 at 60 dps; the forced eigenvalue is present, inertia counts 5->6 and 7->8","The 2x3 open layer is MISSING the forced eigenvalue: exact inertia count is 8 at both outward-rounded ends of the enclosing rational window. At 40 dps the failure also holds for K = 0.05,0.1,0.2,0.221654626,0.3,0.5,1.0,2.0 (gaps 1.17e-7 to 1.89e-1) and at 60 dps for 2x4, 3x3 and the 2x3, 3x3 tori. Note the gap shrinks to 1.17e-7 at K=2.0, so large-K work needs raised precision.",falsified,experiments/e37_spectral_gaussianity.py; experiments/e38_gaussianity_certificate.py; proofs/spectral_gaussianity.md; tests/test_spectral_gaussianity.py; results/spectral/gaussianity.json; results/spectral/gaussianity_certificate.json,Close the remaining loophole: V as the restriction of a larger Gaussian to an invariant subspace (a submultiset of a subset-sum multiset need not be subset-sum)
H063,2026-08-12,"The spectral free-fermion obstruction switches on exactly at the first degree-3 vertex, matching the Theorem DG quartic-defect criterion",Theorem DG shows the quartic Dolan-Grady defect vanishes iff every vertex has degree 0 or 2. If the spectral test detects the same local mechanism it must classify 2-regular layers as 2D-like and fail exactly when a degree-3 vertex appears.,"The 2x2 'layer' is C_4, which is 2-regular, so it must pass; the 2x3 layer has degree-3 vertices, so it must fail","Run the subset-sum reconstruction on the 2x2 layer and compare with the 1D rings, using the repository's shared layer bond builder so the degree sequence is not hand-assigned","The 2x2 layer has degree sequence [2,2,2,2] from the shared builder and behaves exactly like the 1D rings (parity-sector reflection defect 8.9e-15); the first failure appears at 2x3, which has degree-3 vertices. The test was never told the degree criterion.","Only two layer sizes straddle the boundary, so this is a consistency observation across a small sample rather than a proved equivalence",provisionally_supported,experiments/e37_spectral_gaussianity.py; results/spectral/gaussianity.json; proofs/spectral_gaussianity.md,Test layer graphs with a single degree-3 vertex embedded in an otherwise 2-regular layer to see whether one claw alone flips the spectral verdict
H064,2026-08-12,The physical spin-flip operator P = prod_i X_i can be identified with fermion parity in any candidate Gaussian structure for the layer operator,"The torus layers fail reflection symmetry inside each PHYSICAL parity sector. If physical P had to coincide with fermion parity, that would rule out the parity-projected-pair structure outright rather than only for that one decomposition.","If true, the sector-wise reflection failure on the 2x3 and 3x3 tori would exclude parity-projected-pair Gaussianity in every basis","Construct, or prove impossible, a Gaussian structure whose fermion parity is an involution other than prod_i X_i but which still commutes with the transfer operator","For the 1D rings the physical P does coincide with the Kaufman NS/R sector split, and each physical sector is reflection-symmetric to 1e-11","Not established. The repository's own Theorem 11 counterexample (C3 translation commutes with A and B) shows the physical symmetry group is larger than the Pauli centraliser, so other involutions exist a priori.",unresolved,proofs/spectral_gaussianity.md sec.7; experiments/e37_spectral_gaussianity.py; proofs/algebraic_obstruction.md,Enumerate involutions commuting with A and B on a small torus layer and test each as a candidate fermion parity
H038,2026-08-12,The 4-cycle two-sum algebra is sp(4) plus a one-dimensional centre,Dimension 11 suggested a 10-dimensional B2/C2 simple factor plus one scalar,The Killing form has rank 10 and its semisimple root system is B2=C2,Compute the exact rational Killing form and classify faithful symmetry-sector images,The total dimension is 11,The exact Killing form has rank 9 and two-dimensional centre; the Levi factor has root system A1^3,falsified,notes/algebra_structure.md;experiments/e29_algebra_structure.py;results/algebra_structure/structure.json,Use the exact A1^3 plus C^2 decomposition as the small control
H039,2026-08-12,The first non-cycle 2D layer algebras remain finite loop-algebra quotients of Onsager type,The 1D control is a quotient of the fixed sl2 loop algebra and one might hope the larger finite layers only change the evaluation ideal,Every simple Levi factor is A1 and multiplicities come from loop evaluation points,Compute exact-Q structure on C4; on larger grids compute modular centre/derived ranks and scoped quotient images without inferring a characteristic-zero Levi decomposition,The chain and ring controls reproduce their Onsager spin-representation image dimensions; C4 is exactly A1^3 plus C^2 over Q,No characteristic-zero Levi decomposition or quotient classification was obtained for 2x3 or 2x4; modular C7/C3/D21/B13 quotient images have no rational lift in this experiment,unresolved,notes/algebra_structure.md;results/algebra_structure/structure.json;results/algebra_structure/onsager_controls.json,Whether the 2D-layer algebra is an Onsager quotient remains open; a characteristic-zero invariant form or rational quotient is required
H065,2026-08-12,An abstract-only assertion that mu<4.7114 is rigorous is sufficient for a repository-certified Ising endpoint,The claimed inequality would imply K_c>=0.2155275067875380527127805211792797739268 if its proof were auditable,The full article exposes a theorem or corollary and reproducible data proving mu<4.7114,Obtain the complete primary source and identify the page section equation and certificate,The publisher abstract contains the verbatim phrase rigorous upper bound,Only the abstract was obtainable after publisher Crossref OpenAlex Unpaywall and repository searches; no proof or certificate could be inspected,falsified,proofs/kc_bounds_improved.md;results/bounds/improved_bounds.json;sources/manifest.yaml,Do not reuse 4.7114 unless the complete proof becomes auditable
H066,2026-08-12,The published exact 36-step simple-cubic SAW count improves the certified Ising lower endpoint without an asymptotic estimate,Block submultiplicativity directly turns c_36 into a geometric high-temperature susceptibility majorant,c_36=2941370856334701726560670 gives K_c>=atanh(c_36^(-1/36))>0.2074277114992039908436804465100887760027,Verify the complete primary source SHA exact integer root bracket and directed atanh rounding,Schram Barkema and Bisseling give the exact length-doubling identity and c_36 in Section IV and Table I; the cached PDF hash is recorded,The enumeration is imported rather than recomputed locally but its complete primary source and exact algorithm are auditable,confirmed,proofs/kc_bounds_improved.md;experiments/e33_bounds_improve.py;results/bounds/improved_bounds.json;sources/fulltext/schram_barkema_bisseling2011.pdf,Use a longer independently auditable exact count or proved finite-memory bound to tighten further
H056,2026-08-12,The verified Ising parity tensor has a nonexceptional six-space edge-rapidity tetrahedron manifold,Independent rapidities on all six shared TE vector spaces strictly extend the frozen constant isotropic test,"The saturated exact TE ideal away from x_i=0,+1,-1 is nonempty and contains a curve through 0<x_1=...=x_6<1","Generate all 4096 components, remove invertible monomial factors on the nonzero torus, row-reduce over Q, and saturate by product_i x_i(x_i-1)(x_i+1)",A three-dimensional degenerate component exists at x4=x5=1 and x6=-1,The exact saturated Groebner basis is [1]; every solution has a zero-weight or +1/-1 exceptional leg and the physical diagonal has no solution,falsified,notes/tetrahedron_spectral.md;experiments/e35_tetrahedron_spectral.py;results/integrability/tetrahedron_spectral.json;tests/test_tetrahedron_spectral.py,"Any further tetrahedron search must change the edge-rapidity representation, use four independently parametrized R operators, or add interacting auxiliary structure"
H057,2026-08-12,A minimal direct-sum auxiliary state repairs the tetrahedron equation while retaining the physical two-state Ising block,Increasing local bond dimension is a standard escape from a bond-dimension-two obstruction,R3 equal to R_Ising on the physical block and identity on triples containing the auxiliary state satisfies every TE component,Evaluate the exact dimension-three residual at rational physical w=1/2,The construction preserves the physical tensor as an invariant principal block,"The extended residual retains physical component (output 20,input 0)=-675/4096",falsified,notes/tetrahedron_spectral.md;experiments/e35_tetrahedron_spectral.py;results/integrability/tetrahedron_spectral.json,General interacting auxiliary extensions remain unresolved and require mixing outside an invariant direct sum
H058,2026-08-12,The natural two-weight periodic Ising layer transfer matrices form a nontrivial commuting spectral family,A tetrahedron mechanism should induce commuting layer-to-layer transfer matrices,"T(a,b) with a=e^-2Kz and b=e^-2Kparallel commutes at distinct points on the isotropic curve and has a nonzero commuting tangent",Compute exact rational commutators on periodic 2x2 and 2x3 and solve the 2x2 tangent equations,Coincident matrices commute trivially,Distinct physical points have exact nonzero commutator witnesses; the interior isotropic tangent minor is nonzero,falsified,notes/tetrahedron_spectral.md;experiments/e35_tetrahedron_spectral.py;results/integrability/tetrahedron_spectral.json;tests/test_tetrahedron_spectral.py,Broader layer-weight parametrizations and singular exceptional branches remain unresolved
